,asin,brand,color,medium_image_url,product_type_name,title,formatted_price,digital
0,B003BSRPB0,featherlite ,white,https://images-na.ssl-images-amazon.com/images/I/41dCf%2BplpCL._SL160_.jpg,SHIRT,featherlite ladies moisture free mesh sport shirt white  xxxlarge ,20.54,False
1,B014ICEJ1Q,fnc7c ,purple,https://images-na.ssl-images-amazon.com/images/I/41Cn7jZ3O9L._SL160_.jpg,SHIRT,supernatural chibis sam dean castiel neck tshirts female purple l ,7.39,False
2,B0079BMKDS,featherlite ,white,https://images-na.ssl-images-amazon.com/images/I/31%2BYSWGczhL._SL160_.jpg,APPAREL,featherlite ladies silky smooth pique white xl ,13.53,False
3,B01NACPBG2,fifth degree ,black,https://images-na.ssl-images-amazon.com/images/I/51CrsFle7%2BL._SL160_.jpg,SHIRT,fifth degree womens gold foil graphic tees junior top short sleeve printed shirt  l ,6.95,False
4,B00480IRZS,finebrandshop ,green,https://images-na.ssl-images-amazon.com/images/I/41ieEs4wqnL._SL160_.jpg,SHIRT,ladies green seamless ribbed diamond patterned cap sleeve top wide vneck ,7.9,False
5,B011YPK0MW,feel piece ,navy,https://images-na.ssl-images-amazon.com/images/I/41jZnuCA6OL._SL160_.jpg,SHIRT,feel piece sami dip dye top one size navy ,72.4,False
6,B0079QXJ3S,finebrandshop ,orange,https://images-na.ssl-images-amazon.com/images/I/41eaHHtU%2ByL._SL160_.jpg,SHIRT,ladies fuchsia pink seamless stone set tube top ,7.5,False
7,B00R7DO9ZA,finejo ,white,https://images-na.ssl-images-amazon.com/images/I/410Sa3EZiLL._SL160_.jpg,SHIRT,finejo ladies sleeveless shirt lace shirts high low tops long blouses l ,11.99,False
8,B00480IS52,finebrandshop ,white,https://images-na.ssl-images-amazon.com/images/I/41Uq9pcHrHL._SL160_.jpg,SHIRT,ladies white seamless ribbed diamond patterned cap sleeve top wide vneck ,7.9,False
9,B00BXOQ3X0,featherlite ,orange,https://images-na.ssl-images-amazon.com/images/I/31C%2BTk14fsL._SL160_.jpg,SHIRT,featherlite ladies silky smooth pique coffee bean ,12.91,False
10,B011JQWCCM,ferrari ,red,https://images-na.ssl-images-amazon.com/images/I/41FPzxL7E%2BL._SL160_.jpg,SHIRT,puma womens ferrari big shield tee rosso corsa tshirt xl ,34.99,False
11,B01NAZ3L3C,fifth degree ,black,https://images-na.ssl-images-amazon.com/images/I/51pHilbcTiL._SL160_.jpg,SHIRT,vein womens angels diamonds 34 sequin sleeve cross rhinestone printed top shirt  l ,21.0,False
12,B01I5GRO18,fifteen twenty ,light brown,https://images-na.ssl-images-amazon.com/images/I/41vC2nl3SpL._SL160_.jpg,SHIRT,fifteentwenty womens shirred hem ruffle blouse eggshell medium ,65.0,False
13,B002ZZT446,florida hat company ,purple,https://images-na.ssl-images-amazon.com/images/I/41IAH2cZveL._SL160_.jpg,HAT,short purple gloves  satin feel ,6.99,False
14,B015K88D78,firedogcustom tees ,pink,https://images-na.ssl-images-amazon.com/images/I/41iTs%2BRYtuL._SL160_.jpg,SHIRT,womens west ham united fc logo short sleeve tees size pink ,9.75,False
15,B07453B7L3,fever ,golden,https://images-na.ssl-images-amazon.com/images/I/41rMpkK0SCL._SL160_.jpg,SHIRT,fever womens double layer sleeveless blouse small deep sea coral  ,19.86,False
16,B01MS8J0HE,feel piece ,green,https://images-na.ssl-images-amazon.com/images/I/31V54GMicwL._SL160_.jpg,SHIRT,feel piece womens super soft turtleneck curved hem top pine green 260943 ,45.99,False
17,B073WKCX36,fjallraven ,mahogany,https://images-na.ssl-images-amazon.com/images/I/41MIE0khzIL._SL160_.jpg,SHIRT,fjallraven  womens alphabotanical tshirt lily ,33.44,False
18,B01MAWUZB7,fifth degree ,gray,https://images-na.ssl-images-amazon.com/images/I/41xqsj5DVpL._SL160_.jpg,SHIRT,american made womens plus size long sleeve cowel neck loose top shirt sparkle detail  6x ,19.99,False
19,B004TUJ6MA,finebrandshop ,Beige,https://images-na.ssl-images-amazon.com/images/I/418Ru6tYtfL._SL160_.jpg,SHIRT,ladies fushia seamless tank top cut pattern along sides top ,5.0,False
20,B01EZ6XKR4,ferrari ,black,https://images-na.ssl-images-amazon.com/images/I/419fqKbQu-L._SL160_.jpg,SPORTING_GOODS,ferrari ladies black vneck tee shirt xlarge ,7.99,False
21,B014SSOEM4,firedogcustom tees ,violet,https://images-na.ssl-images-amazon.com/images/I/41KmRk-6AFL._SL160_.jpg,SHIRT,womens alice wonderland mad 100 cotton tshirt size xl skyblue ,7.99,False
